candidate,source,tick,task,enabled,side,desired,realized_qp,raw_residual,normalized_residual,weighted_squared_cost,gradient_norm,reported_task_cost,wrench_task_cost,contact_task_cost,slack_task_cost,base_task_information,active_torque,active_contact,active_acceleration
B,own,0,native,True,1,0.0,-7.406055322741077e-08,-7.406055322741077e-08,-3.7030276613705383e-09,1.3712413860875359e-17,2.571936513231055e-10,2.6459429712364465e-17,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,own,93,xi,False,0,0.0,2.4614717138363624,2.4614717138363624,2.4614717138363624,6.0588429980165195,1.1682552922676606,0.0,4.824365723767679e-08,6.567421365492053e-10,4.8243658971902434e-08,unavailable_in_minimal_profile,0,0,0
B,own,93,xi,False,1,0.0,2.5462496235546404,2.5462496235546404,2.5462496235546404,6.483387145452148,1.1682552922676606,0.0,4.824365723767679e-08,6.567421365492053e-10,4.8243658971902434e-08,unavailable_in_minimal_profile,0,0,0
B,own,93,native,True,0,-30.858654501746894,-30.85863983867335,1.4663073542919847e-05,7.331536771459923e-07,5.375143143126899e-13,3.913133568016659e-08,6.125045728455512e-13,4.824365723767679e-08,6.567421365492053e-10,4.8243658971902434e-08,unavailable_in_minimal_profile,0,0,0
B,own,93,native,True,1,-31.60774272297221,-31.607737246102353,5.476869855414179e-06,2.7384349277070896e-07,7.499025853286134e-14,3.913133568016659e-08,6.125045728455512e-13,4.824365723767679e-08,6.567421365492053e-10,4.8243658971902434e-08,unavailable_in_minimal_profile,0,0,0
B,own,97,xi,False,0,0.0,3.6734376992482076,3.6734376992482076,3.6734376992482076,13.494144530257966,1.7449561996530611,0.0,3.8657659059530887e-08,6.62969458711767e-10,3.86576618644852e-08,unavailable_in_minimal_profile,0,0,0
B,own,97,xi,False,1,0.0,3.807807804468174,3.807807804468174,3.807807804468174,14.499400275768734,1.7449561996530611,0.0,3.8657659059530887e-08,6.62969458711767e-10,3.86576618644852e-08,unavailable_in_minimal_profile,0,0,0
B,own,97,native,True,0,-46.17103389270221,-46.1710152013443,1.869135791565668e-05,9.34567895782834e-07,8.734171518279541e-13,5.453818512834051e-08,1.1897654548372568e-12,3.8657659059530887e-08,6.62969458711767e-10,3.86576618644852e-08,unavailable_in_minimal_profile,0,0,0
B,own,97,native,True,1,-47.58288997245444,-47.582878723484654,1.1248969784105611e-05,5.624484892052806e-07,3.1634830300930265e-13,5.453818512834051e-08,1.1897654548372568e-12,3.8657659059530887e-08,6.62969458711767e-10,3.86576618644852e-08,unavailable_in_minimal_profile,0,0,0
B,own,98,xi,False,0,0.0,3.3962137199240514,3.3962137199240514,3.3962137199240514,11.534267631400363,1.592713291030174,0.0,5.145802797231263e-08,7.365103163863417e-10,5.1458027974124876e-08,unavailable_in_minimal_profile,0,0,2
B,own,98,xi,False,1,0.0,3.4343715435900917,3.4343715435900917,3.4343715435900917,11.79490789942139,1.592713291030174,0.0,5.145802797231263e-08,7.365103163863417e-10,5.1458027974124876e-08,unavailable_in_minimal_profile,0,0,2
B,own,98,native,True,0,-51.09337468925646,-50.00000000906998,1.0933746801864785,0.05466873400932393,0.0029886704781822105,0.007325067871808741,0.021462647730641854,5.145802797231263e-08,7.365103163863417e-10,5.1458027974124876e-08,unavailable_in_minimal_profile,0,0,2
B,own,98,native,True,1,-52.71838030073771,-50.00000010271833,2.718380198019375,0.13591900990096875,0.018473977252459643,0.007325067871808741,0.021462647730641854,5.145802797231263e-08,7.365103163863417e-10,5.1458027974124876e-08,unavailable_in_minimal_profile,0,0,2
B,own,101,xi,False,0,0.0,-0.8674994484846835,-0.8674994484846835,-0.8674994484846835,0.75255529312123,0.4010383109330884,0.0,4.696914097372034e-08,6.805103273838358e-10,4.696914097299055e-08,unavailable_in_minimal_profile,0,0,2
B,own,101,xi,False,1,0.0,-0.8516308670819517,-0.8516308670819517,-0.8516308670819517,0.7252751337667569,0.4010383109330884,0.0,4.696914097372034e-08,6.805103273838358e-10,4.696914097299055e-08,unavailable_in_minimal_profile,0,0,2
B,own,101,native,True,0,-71.37636635384244,-50.000000082979945,21.376366270862498,1.0688183135431248,1.1423725873651696,0.0812250144191763,2.639001186958159,4.696914097372034e-08,6.805103273838358e-10,4.696914097299055e-08,unavailable_in_minimal_profile,0,0,2
