channel,branch,scale,model,dof,joint,g_ddxi_common_contribution
slip_common_only,+,0.5,mj,12,left_knee_joint,0.02259227787145303
slip_common_only,+,0.5,qp,14,left_connect1_joint,0.0
slip_common_only,+,0.5,mj,14,left_connect1_joint,0.0
slip_common_only,+,0.5,qp,15,left_connect2_joint,0.0
slip_common_only,+,0.5,mj,15,left_connect2_joint,0.0
slip_common_only,+,0.25,qp,6,right_hip_joint,-0.0749288487598563
slip_common_only,+,0.25,mj,6,right_hip_joint,-0.035180139149315615
slip_common_only,+,0.25,qp,7,right_knee_joint,0.07451268915795432
slip_common_only,+,0.25,mj,7,right_knee_joint,0.07061531153631506
slip_common_only,+,0.25,qp,9,right_connect1_joint,0.0
slip_common_only,+,0.25,mj,9,right_connect1_joint,0.0
slip_common_only,+,0.25,qp,10,right_connect2_joint,0.0
slip_common_only,+,0.25,mj,10,right_connect2_joint,0.0
slip_common_only,+,0.25,qp,11,left_hip_joint,-0.02838226450160063
slip_common_only,+,0.25,mj,11,left_hip_joint,-0.16565867700739817
slip_common_only,+,0.25,qp,12,left_knee_joint,0.02824025289180493
slip_common_only,+,0.25,mj,12,left_knee_joint,0.02259227787480625
slip_common_only,+,0.25,qp,14,left_connect1_joint,0.0
slip_common_only,+,0.25,mj,14,left_connect1_joint,0.0
slip_common_only,+,0.25,qp,15,left_connect2_joint,0.0
slip_common_only,+,0.25,mj,15,left_connect2_joint,0.0
