candidate,source,tick,channel,output_family,classification,plus_regime_valid,minus_regime_valid,plus_trusted,minus_trusted,family_trusted,branch_relative,plus_scale,minus_scale
C,own,98,xi_common,slip,R44-S,True,True,True,True,True,2.057789173097117e-05,1.0,1.0
C,own,98,xi_common,base,R44-S,True,True,True,True,True,2.345820641478451e-10,1.0,1.0
C,own,98,xi_common,normal_load,R44-S,True,True,True,True,True,1.4206783354539509e-06,1.0,1.0
C,own,98,xi_differential,native_wheel,R44-S,True,True,True,True,True,3.3461840090078215e-07,1.0,1.0
C,own,98,xi_differential,xi,R44-S,True,True,True,True,True,3.0656075132750586e-07,1.0,1.0
C,own,98,xi_differential,slip,R44-S,True,True,True,True,True,3.697067924638727e-05,1.0,1.0
C,own,98,xi_differential,base,R44-S,True,True,True,True,True,0.00034584227505537156,1.0,1.0
C,own,98,xi_differential,normal_load,R44-S,True,True,True,True,True,4.7530505807028423e-05,1.0,1.0
C,own,102,xi_common,native_wheel,R44-S,True,True,True,True,True,2.542589639539639e-09,1.0,1.0
C,own,102,xi_common,xi,R44-S,True,True,True,True,True,2.8335974171305543e-08,1.0,1.0
C,own,102,xi_common,slip,R44-S,True,True,True,True,True,0.00019114589254298363,1.0,1.0
C,own,102,xi_common,base,R44-S,True,True,True,True,True,1.1871575267050514e-10,1.0,1.0
C,own,102,xi_common,normal_load,R44-S,True,True,True,True,True,3.548689296614793e-08,1.0,1.0
C,own,102,xi_differential,native_wheel,R44-S,True,True,True,True,True,2.7780464652828807e-09,1.0,1.0
C,own,102,xi_differential,xi,R44-S,True,True,True,True,True,1.3337876728248505e-08,1.0,1.0
C,own,102,xi_differential,slip,R44-S,True,True,True,True,True,1.301759975610903e-07,1.0,1.0
C,own,102,xi_differential,base,R44-S,True,True,True,True,True,1.062412532757935e-06,1.0,1.0
C,own,102,xi_differential,normal_load,R44-S,True,True,True,True,True,1.4507559241590824e-07,1.0,1.0
C,own,103,xi_common,native_wheel,R44-S,True,True,True,True,True,7.36907253680264e-10,1.0,1.0
C,own,103,xi_common,xi,R44-S,True,True,True,True,True,2.8333822628918e-08,1.0,1.0
C,own,103,xi_common,slip,R44-S,True,True,True,True,True,0.00013841011350400944,1.0,1.0
C,own,103,xi_common,base,R44-S,True,True,True,True,True,2.3279031427802997e-11,1.0,1.0
C,own,103,xi_common,normal_load,R44-S,True,True,True,True,True,9.645203173458621e-09,1.0,1.0
C,own,103,xi_differential,native_wheel,R44-S,True,True,True,True,True,2.939876204000218e-09,1.0,1.0
C,own,103,xi_differential,xi,R44-S,True,True,True,True,True,8.835822952259629e-09,1.0,1.0
C,own,103,xi_differential,slip,R44-S,True,True,True,True,True,8.816398830801728e-06,1.0,1.0
C,own,103,xi_differential,base,R44-S,True,True,True,True,True,6.301899826869919e-07,1.0,1.0
C,own,103,xi_differential,normal_load,R44-S,True,True,True,True,True,4.8161896164079035e-08,1.0,1.0
C,own,106,xi_common,native_wheel,R44-S,True,True,True,True,True,5.773914178500539e-08,1.0,1.0
C,own,106,xi_common,xi,R44-S,True,True,True,True,True,3.933529141252669e-09,1.0,1.0
C,own,106,xi_common,slip,R44-S,True,True,True,True,True,2.4769798692493804e-06,1.0,1.0
C,own,106,xi_common,base,R44-S,True,True,True,True,True,4.2329390909098087e-10,1.0,1.0
C,own,106,xi_common,normal_load,R44-S,True,True,True,True,True,3.3026616703146976e-08,1.0,1.0
C,own,106,xi_differential,native_wheel,R44-S,True,True,True,True,True,2.064973745005411e-08,1.0,1.0
C,own,106,xi_differential,xi,R44-S,True,True,True,True,True,1.4055772710977503e-08,1.0,1.0
C,own,106,xi_differential,slip,R44-S,True,True,True,True,True,1.898016931252612e-07,1.0,1.0
C,own,106,xi_differential,base,R44-S,True,True,True,True,True,1.7059735068157264e-08,1.0,1.0
C,own,106,xi_differential,normal_load,R44-S,True,True,True,True,True,3.1560857006421646e-08,1.0,1.0
D,common,0,xi_common,native_wheel,R44-S,True,True,True,True,True,6.338065487017954e-12,1.0,1.0
D,common,0,xi_common,xi,R44-S,True,True,True,True,True,9.593132930113248e-13,1.0,1.0
D,common,0,xi_common,slip,R44-S,True,True,True,True,True,1.8564081800183704e-11,1.0,1.0
D,common,0,xi_common,base,R44-S,True,True,True,True,True,7.832752958823554e-13,1.0,1.0
D,common,0,xi_common,normal_load,R44-S,True,True,True,True,True,7.503441505003926e-09,1.0,1.0
D,common,0,xi_differential,native_wheel,R44-S,True,True,True,True,True,6.976867243749901e-10,1.0,1.0
D,common,0,xi_differential,xi,R44-S,True,True,True,True,True,7.160055686326616e-10,1.0,1.0
D,common,0,xi_differential,slip,R44-S,True,True,True,True,True,3.6000411889732543e-10,1.0,1.0
D,common,0,xi_differential,base,R44-S,True,True,True,True,True,1.3433277821566322e-06,1.0,1.0
D,common,0,xi_differential,normal_load,R44-S,True,True,True,True,True,1.8595576455243499e-07,1.0,1.0
D,common,0,native_common,native_wheel,R44-S,True,True,True,True,True,3.921412402257681e-13,1.0,1.0
D,common,0,native_common,xi,R44-S,True,True,True,True,True,2.5150121074991566e-12,1.0,1.0
D,common,0,native_common,slip,R44-S,True,True,True,True,True,4.3771260569998395e-12,1.0,1.0
D,common,0,native_common,base,R44-S,True,True,True,True,True,9.951341525632505e-14,1.0,1.0
D,common,0,native_common,normal_load,R44-S,True,True,True,True,True,4.133420491012015e-11,1.0,1.0
D,common,0,native_differential,native_wheel,R44-S,True,True,True,True,True,1.0094478022744013e-09,1.0,1.0
D,common,0,native_differential,xi,R44-S,True,True,True,True,True,7.273152795282625e-09,1.0,1.0
D,common,0,native_differential,slip,R44-S,True,True,True,True,True,2.6533795808206113e-10,1.0,1.0
D,common,0,native_differential,base,R44-S,True,True,True,True,True,9.038294014148269e-07,1.0,1.0
D,common,0,native_differential,normal_load,R44-S,True,True,True,True,True,5.331360308232968e-07,1.0,1.0
D,common,46,xi_common,native_wheel,R44-S,True,True,True,True,True,5.439325872945225e-09,1.0,1.0
D,common,46,xi_common,xi,R44-S,True,True,True,True,True,7.011287015861394e-10,1.0,1.0
D,common,46,xi_common,slip,R44-S,True,True,True,True,True,9.222080456299617e-07,1.0,1.0
D,common,46,xi_common,base,R44-S,True,True,True,True,True,5.670164168453504e-12,1.0,1.0
D,common,46,xi_common,normal_load,R44-S,True,True,True,True,True,5.073081848989926e-08,1.0,1.0
D,common,46,xi_differential,native_wheel,R44-S,True,True,True,True,True,1.2021231507307328e-10,1.0,1.0
D,common,46,xi_differential,xi,R44-S,True,True,True,True,True,8.583006543363524e-11,1.0,1.0
D,common,46,xi_differential,slip,R44-S,True,True,True,True,True,6.666290546490003e-09,1.0,1.0
D,common,46,xi_differential,base,R44-S,True,True,True,True,True,8.847611053512886e-08,1.0,1.0
D,common,46,xi_differential,normal_load,R44-S,True,True,True,True,True,3.12204374538484e-08,1.0,1.0
D,common,46,native_common,native_wheel,R44-S,True,True,True,True,True,8.782345962506095e-10,1.0,1.0
D,common,46,native_common,xi,R44-S,True,True,True,True,True,2.3795206772038382e-08,1.0,1.0
D,common,46,native_common,slip,R44-S,True,True,True,True,True,1.2205520426254518e-07,1.0,1.0
D,common,46,native_common,base,R44-S,True,True,True,True,True,2.0695482790049854e-10,1.0,1.0
D,common,46,native_common,normal_load,R44-S,True,True,True,True,True,1.6919433139149894e-08,1.0,1.0
D,common,46,native_differential,native_wheel,R44-S,True,True,True,True,True,1.3818152668599393e-05,1.0,1.0
D,common,46,native_differential,xi,R44-S,True,True,True,True,True,0.00010015346640456842,1.0,1.0
D,common,46,native_differential,slip,R44-S,True,True,True,True,True,3.185343715248029e-06,1.0,1.0
D,common,46,native_differential,base,R44-S,True,True,True,True,True,0.008697639021908746,1.0,1.0
D,common,46,native_differential,normal_load,R44-S,True,True,True,True,True,0.007447234071367194,1.0,1.0
D,common,74,xi_common,native_wheel,R44-S,True,True,True,True,True,1.0740957763751344e-08,1.0,1.0
