candidate,source,tick,channel,direction,scale,side,qp_contact_gain,mj_contact_gain,mj_actuator_gain,mj_mass_times_qacc_gain,mj_other_gain,balance_residual,mj_wheel_qacc_gain,cancellation_ratio
C,own,0,xi_common,minus,1.0,right,-0.0009114004386814433,-0.00047374502763710856,4.830322421253256e-07,0.0004732619953938456,0.0009465239907888288,0.0,1.3318529048436112,980.7730961242803
C,own,0,xi_differential,plus,1.0,left,0.0046969334501027575,0.0024228084694617583,6.879360535169101e-08,-0.002422877263059356,-0.004845754526126466,0.0,-8.31523366833797,-35218.51278292108
C,own,0,xi_differential,plus,1.0,right,-0.004666982896077009,-0.002417518247741819,-2.856117321307559e-08,0.002417546808924258,0.00483509361783929,0.0,8.323104745639842,-84643.52040815518
C,own,0,xi_differential,minus,1.0,left,0.004696933450102714,0.0024228084694595453,6.879360460937252e-08,-0.0024228772630596127,-0.004845754526123767,0.0,-8.3152336683394,-35218.513162914845
C,own,0,xi_differential,minus,1.0,right,-0.0046669828960772255,-0.002417518247757307,-2.8561174032055865e-08,0.00241754680892447,0.0048350936178558086,0.0,8.323104745640775,-84643.51798157826
C,own,84,xi_common,plus,1.0,left,-0.0009336973897267065,-0.00047957095833141283,5.005176734685132e-07,0.00047907044068153505,0.0009581408813394794,0.0,1.359711037877176,958.1498990995808
C,own,84,xi_common,plus,1.0,right,-0.0009008085570944013,-0.0004662136349154952,5.007744999354126e-07,0.0004657128604237814,0.0009314257208393412,0.0,1.3115666642050883,930.985173916853
C,own,84,xi_common,minus,1.0,left,-0.0009336973898467493,-0.0004795709583135452,5.005175967404995e-07,0.0004790704407006635,0.0009581408814174682,0.0,1.3597110379777178,958.1500459457085
C,own,84,xi_common,minus,1.0,right,-0.0009008085571055036,-0.00046621363489329076,5.007744243720693e-07,0.0004657128604705151,0.0009314257209394339,0.0,1.3115666643916057,930.9853143516365
C,own,84,xi_differential,plus,1.0,left,0.004738621055597886,0.0024137541253797454,-9.3221589969334e-08,-0.002413660903788498,-0.004827321807578274,0.0,-8.315227678302506,25892.65132866506
C,own,84,xi_differential,plus,1.0,right,-0.004681951860395495,-0.0024443479992535162,-1.9098201931455124e-07,0.002444538981276621,0.004889077962549452,0.0,8.377905561778931,-12798.838382935022
C,own,84,xi_differential,minus,1.0,left,0.004738621055521558,0.002413754125399868,-9.322162040928408e-08,-0.0024136609038017173,-0.004827321807581176,0.0,-8.315227678339454,25892.64287407172
C,own,84,xi_differential,minus,1.0,right,-0.004681951860337208,-0.0024443479992600214,-1.909820478695989e-07,0.0024445389812994237,0.0048890779626073145,0.0,8.37790556185709,-12798.836469326183
C,own,94,xi_common,plus,1.0,left,-0.0009444801297692207,-0.00047740382524558145,5.457389339485407e-07,0.0004768580863264947,0.0009537161726381276,0.0,1.3666877924059406,874.7842522274527
C,own,94,xi_common,plus,1.0,right,-0.0009066251555917004,-0.00046259959127145645,5.460297458496886e-07,0.0004620535615364748,0.0009241071230620815,0.0,1.3134365864928554,847.2058432486958
C,own,94,xi_common,minus,1.0,left,-0.000944480129591585,-0.00047740382486602395,5.457380093039974e-07,0.000476858086863609,0.000953716173720329,0.0,1.3666877942867472,874.7857336799339
C,own,94,xi_common,minus,1.0,right,-0.000906625157087726,-0.00046259959048215726,5.460288437571433e-07,0.0004620535616369522,0.0009241071232753523,0.0,1.3134365868481268,847.2072414692935
C,own,94,xi_differential,plus,1.0,left,0.004808277605250488,0.0024182473862679327,-2.498197868884386e-07,-0.0024179975664648267,-0.0048359951329458705,0.0,-8.36623274946433,9679.967373232304
C,own,94,xi_differential,plus,1.0,right,-0.004742894297729561,-0.0024405621695915147,-3.485924089878055e-07,0.002440910761996584,0.004881821523997087,0.0,8.41130991751129,-7001.191381872261
C,own,94,xi_differential,minus,1.0,left,0.004808277605231059,0.0024182473868972904,-2.498211865862435e-07,-0.002417997565674407,-0.004835995131385111,0.0,-8.366232746686109,9679.913140843484
C,own,94,xi_differential,minus,1.0,right,-0.004742894299786249,-0.002440562168436189,-3.485938056009705e-07,0.002440910762264266,0.004881821524506056,0.0,8.411309918457732,-7001.163328845434
