candidate,source,tick,qp_norm,mj_norm,error_norm,relative_error,base_error_norm,leg_error_norm,wheel_left_error,wheel_right_error,wheel_common_error,wheel_differential_error,qp_actuator_wheel_left,qp_actuator_wheel_right,mj_actuator_wheel_left,mj_actuator_wheel_right,reconstruction_residual
C,own,103,63.232001556207216,62.13652609233662,13.394871688569866,0.211836907877463,13.170213047180203,2.4418246568717836,0.05290322124491946,0.052625463511113496,0.05276434237801648,-0.00013887886690298196,0.015368136126634778,0.017793197795203778,-0.015368136126634778,-0.017793197795203778,0.0
C,own,106,62.556241487172414,62.79066902215163,13.432137252373135,0.21472097640532778,13.202235401129219,2.4733654140943533,0.053828859565988846,0.053456168963221196,0.05364251426460502,-0.0001863453013838251,0.07602234764139176,0.05868558909077241,-0.07602234764139176,-0.05868558909077241,0.0
D,common,0,63.42793394771763,63.02926395863444,4.903670838263788,0.07731090283195706,4.903064002447243,0.07713929578846877,-0.0003539774758978653,0.0006940388316604724,0.00017003067788130355,0.0005240081537791688,-1.9141083794437933e-07,-2.0283206704251966e-07,1.9141083794437933e-07,2.0283206704251966e-07,0.0
D,common,46,63.42907244838943,63.663038547068474,4.86596516412805,0.07671506103273634,4.865940544529703,0.015466981824049094,-0.0006066771572865292,5.077084223759944e-06,-0.0003008000365313846,0.00030587712075514457,-0.0001312850735341833,-0.00013144861006027733,0.0001312850735341833,0.00013144861006027733,0.0
D,common,74,63.48591345834376,63.576936365728166,4.730777426210632,0.07451696240166299,4.72308816918348,0.2694969799158522,-0.005485548166674131,-0.005872737068396278,-0.005679142617535204,-0.00019359445086107336,-0.003601305254950213,-0.003601572605178259,0.003601305254950213,0.003601572605178259,0.0
D,common,101,51.531370652980065,54.81114203379937,8.620701381734431,0.16729035677679757,8.542903391331416,1.1530425092199674,0.04789888504264361,0.05909846156647053,0.05349867330455707,0.005599788261913458,-0.49146966509171797,-0.46859144482219495,0.49146966509171797,0.46859144482219495,0.0
D,common,110,61.79537383708971,79.69881418173503,19.961145970805976,0.32302006981022996,19.6914244492526,3.2636871804408654,0.16777734330094263,0.12388857292490663,0.14583295811292463,-0.021944385188018,-1.2357109254295122,-0.8990580248111346,1.2357109254295122,0.8990580248111346,0.0
D,own,0,63.42793394771763,63.0292639586348,4.903670838263774,0.07731090283195684,4.9030640024472305,0.07713929578844239,-0.00035397747589808635,0.0006940388316604278,0.00017003067788117074,0.0005240081537792571,-1.9141083794437933e-07,-2.0283206704251966e-07,1.9141083794437933e-07,2.0283206704251966e-07,0.0
D,own,103,63.402432780492056,63.95046825065729,8.16818255705346,0.12883074353523358,8.089066811469968,1.1335979316389417,0.023587074060815737,0.024572021663623017,0.02407954786221938,0.0004924738014036398,0.010610819854061515,0.010610820954298928,-0.010610819854061515,-0.010610820954298928,0.0
D,own,110,63.41497748450821,63.975616283522164,10.111261990636484,0.15944596042956236,9.979080026478256,1.6288656062363216,0.0340783758611415,0.03487648995917202,0.03447743291015676,0.00039905704901526187,0.011295928814511448,0.011295933487868772,-0.011295928814511448,-0.011295933487868772,0.0
D,own,113,63.42396380552479,63.95232712025635,11.390998212773775,0.17960085635299758,11.22304150729718,1.9480248289389241,0.04066059835339533,0.04154022723814433,0.04110041279576983,0.0004398144423744983,0.010853741255738793,0.010853750870430398,-0.010853741255738793,-0.010853750870430398,0.0
D,own,120,63.05432796469232,62.89495724029519,13.201050909608771,0.2093599493598724,12.970225813778983,2.4567961438087687,0.05012951545981455,0.051256190943409816,0.05069285320161218,0.0005633377417976343,0.09443722371457633,0.09233931309824725,-0.09443722371457633,-0.09233931309824725,0.0
D,own,121,62.83130236146042,62.47700424568574,13.122416834819596,0.2088515810054042,12.890337137357655,2.4559971510152243,0.050101679157896206,0.05098909653486405,0.05054538784638013,0.00044370868848392364,0.12053949686820951,0.12064613427291314,-0.12053949686820951,-0.12064613427291314,0.0
D,own,124,61.7148065286794,60.95611573983611,13.133821266468999,0.21281475232958239,12.905284809068007,2.4384497287920417,0.04947381928642827,0.04899303778199851,0.04923342853421339,-0.0002403907522148807,0.22350006953942742,0.20077370345444093,-0.22350006953942742,-0.20077370345444093,0.0
