tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
31,0.32000000000000023,ramp,0,0,1.735863495598649e-09,0.00026240900000000001,1,1,-0.011157172669780779,0,0,-0.011433275835374443,-0.015009457926302134,-0.0014516176127439004,-0.0020962557628050032,0.00027610316559366355,-0.00013190556138675726,6.3870842122616252e-05,0.0031935422654659784,3.2316973456406313,-0.019284336249283933,-3.1268916030343341,-8.7457685385656806e-07,0.058627329487457192,-3.2316973456406313,-8.6066969018895519e-07
32,0.33000000000000024,ramp,0,0,6.809214303515887e-09,0.00025998699999999999,1,1,-0.011157172669780779,0,0,-0.011525557972153995,-0.0055565855093224793,-0.0015206862732247608,-0.010164769921671864,0.0003683853023732156,-6.28369009058969e-05,0.00033797641555233064,0.016898821134240533,3.2004476708964362,-0.087292798846200434,-3.1660830186690641,-1.2785777013847671e-06,0.11010690962111458,-3.2004476708964362,-1.3213199049614154e-06
33,0.34000000000000025,ramp,0,0,1.3425936473687727e-08,0.00025693599999999998,1,1,-0.011157172669780779,0,0,-0.011488607966785703,0.0096788676556673579,-0.0015890447839430819,-0.0047658489458459264,0.00033143529700492384,5.5216098124241664e-06,0.00020286306789791435,0.010143153222696424,3.2246872146714227,-0.078057789399785499,-3.1605456951081119,-1.6557278986935775e-06,0.067141022464801428,-3.2246872146714227,-1.6725848130644877e-06
34,0.35000000000000026,ramp,0,0,5.64251789736403e-09,0.000273412,1,1,-0.011157172669780779,0,0,-0.011362970195091871,0.014371387275634433,-0.0016193492566426212,-0.0019510749073449584,0.00020579752531109212,3.5826082511963495e-05,0.00012890507671558786,0.0064452537438267673,3.2374445892710586,-0.071166475281847594,-3.1569258552842125,-1.5107408091023662e-06,0.045472570440354763,-3.2374445892710586,-1.5136000146578283e-06
35,0.36000000000000026,ramp,0,0,1.8123453848772897e-09,0.000261823,1,1,-0.011157172669780779,0,0,-0.011219477748975203,0.014271624734018927,-0.0016300635158290585,-0.00052297053469520238,6.2305079194423935e-05,4.6540341698400774e-05,8.8283035337942284e-05,0.0044141517179624714,3.2440106642926771,-0.065973494131547836,-3.1544562528447289,-1.1982244387066639e-06,0.034978953467354718,-3.2440106642926771,-1.1934786025970851e-06
36,0.37000000000000027,ramp,0,0,2.8373468174833016e-10,0.00025819200000000002,1,1,-0.011157172669780779,0,0,-0.011087980658722591,0.012380438053550009,-0.0016310112105254711,0.00017416321339365232,-6.9192011058188257e-05,4.7488036394813422e-05,6.5876005287610645e-05,0.0032938002381855918,3.2473817139048884,-0.062114596740960593,-3.1527467377882141,-8.848735720634516e-07,0.030080666750062296,-3.2473817139048884,-8.7593338669573564e-07
37,0.38000000000000028,ramp,0,0,4.2402603650515402e-10,0.00026083600000000002,1,1,-0.011157172669780779,0,0,-0.010977508177794557,0.010171449747701861,-0.0016273121823165773,0.00049552701126339208,-0.00017966449198622211,4.3789008185919631e-05,5.3509720844733587e-05,0.0026754860278446189,3.2492336744313626,-0.059341737343678425,-3.1515811150042774,-6.3905298529159816e-07,0.027751704300004287,-3.2492336744313626,-6.2768830138267176e-07
38,0.39000000000000029,ramp,0,0,7.3787712606687705e-09,0.00025691000000000001,1,1,-0.011157172669780779,0,0,-0.010925418458048218,0.00067976336808740247,-0.0015885705297539725,0.0072281151532179993,-0.00023175421173256099,5.0473556233148614e-06,0.00016914220117979946,0.0084571103419715903,3.2724347485656082,-0.002746601233452101,-3.1192017668325449,-3.6484492297964071e-07,-0.010683987294875224,-3.2724347485656082,-3.0813004194616644e-07
39,0.4000000000000003,ramp,0,0,8.8543850029765281e-09,0.00026487499999999997,1,1,-0.011157172669780779,0,0,-0.010966112985166707,-0.0091431136583534425,-0.0014942222159493607,0.009321711736618131,-0.0001910596846140724,-8.9300958181296949e-05,0.00027894840186080418,0.013947420230715789,3.2808937972646124,0.033246038692618697,-3.0983566571172085,-2.7392552701261755e-07,-0.024265044747591828,-3.2808937972646124,-1.9450173162259725e-07
40,0.41000000000000031,ramp,0,0,4.4710187411813838e-09,0.00026489100000000001,1,1,-0.011157172669780779,0,0,-0.011070485873059061,-0.0099276947159187071,-0.0014608163542217563,-0.001725271863599079,-8.6686796721718862e-05,-0.00012270681990890139,3.8247296965632506e-05,0.00191236525621612,3.240128038885008,-0.030210778930230279,-3.1349057072178921,-4.6544584554295542e-07,0.04483126092140511,-3.240128038885008,-4.5011784384014791e-07
