side,hip_rad,knee_rad,wheel_rad,connect1_rad,connect2_rad,solver_iterations,closure_residual_m,passive_min_singular_value,passive_condition_number,fk_position_error_m,fk_rotation_matrix_error,full_jacobian_error,constraint_tangent_residual,reduced_jacobian_error,finite_difference_linear_error,finite_difference_angular_error,velocity_error,virtual_work_error_nm,power_error_w
left,0.0,-0.25,1.0,-0.24999999999999836,0.24999999999999822,0,1.1102230246251565e-16,0.02474780558092822,9.278923899570485,5.551115123125783e-17,3.3306690738754696e-16,3.8285686989269494e-16,3.4416913763379834e-17,3.8285686989269494e-16,4.223621452581483e-12,1.4210410625992154e-11,7.151815848046469e-17,0.0,0.0
left,0.0,0.0,-1.0,0.0,0.0,0,2.7755575615628914e-17,0.030661813076649672,7.693661399523455,5.551115123125783e-17,1.8896063045236373e-16,1.6081226496766364e-16,9.198197759019425e-17,1.6081226496766364e-16,5.640848899091111e-12,9.278133816792433e-12,3.377057564320937e-17,5.551115123125783e-17,0.0
left,0.0,0.0,0.0,0.0,0.0,0,2.7755575615628914e-17,0.030661813076649693,7.69366139952345,5.551115123125783e-17,1.7225464241988333e-16,1.6081226496766364e-16,9.198197759019425e-17,1.6081226496766364e-16,5.5348226002394085e-12,5.870637309612903e-12,3.377057564320937e-17,5.551115123125783e-17,1.3877787807814457e-17
left,0.0,0.0,1.0,0.0,0.0,0,2.7755575615628914e-17,0.030661813076649613,7.693661399523473,5.551115123125783e-17,2.2603051875027107e-16,1.6081226496766364e-16,9.198197759019425e-17,1.6081226496766364e-16,5.505228217739244e-12,9.105605158765684e-12,3.377057564320937e-17,2.7755575615628914e-17,6.938893903907228e-18
left,0.0,0.25,-1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416585,7.119434936658306,8.326672684688674e-17,3.3306690738754696e-16,3.8285686989269494e-16,3.619327060278011e-17,3.8285686989269494e-16,4.20097290287913e-12,9.265477274311706e-12,7.151815848046469e-17,5.551115123125783e-17,2.0816681711721685e-17
left,0.0,0.25,0.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416585,7.119434936658306,5.551115123125783e-17,2.718345674301793e-16,3.8285686989269494e-16,3.619327060278011e-17,3.8285686989269494e-16,4.58316717910634e-12,1.1917355990931355e-11,7.151815848046469e-17,5.551115123125783e-17,1.3877787807814457e-17
left,0.0,0.25,1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416585,7.119434936658306,5.551115123125783e-17,2.749583585608526e-16,3.8285686989269494e-16,3.619327060278011e-17,3.8285686989269494e-16,3.2431002328081604e-12,8.893774605667204e-12,7.151815848046469e-17,1.3877787807814457e-17,6.938893903907228e-18
left,0.0,0.5,-1.0,0.5000000000000004,-0.5000000000000007,0,5.551115123125783e-17,0.035358303677280684,7.131676392280095,8.326672684688674e-17,3.3306690738754696e-16,1.6081226496766364e-16,1.134092819654597e-16,1.6081226496766364e-16,4.518607710224387e-12,8.843574731937864e-12,3.377057564320937e-17,5.551115123125783e-17,1.3877787807814457e-17
left,0.0,0.5,0.0,0.5000000000000004,-0.5000000000000007,0,5.551115123125783e-17,0.035358303677280684,7.131676392280095,8.326672684688674e-17,2.220446049250313e-16,1.6081226496766364e-16,1.134092819654597e-16,1.6081226496766364e-16,4.518607710224387e-12,8.532952122664028e-12,3.377057564320937e-17,0.0,6.938893903907228e-18
left,0.0,0.5,1.0,0.5000000000000004,-0.5000000000000007,0,5.551115123125783e-17,0.03535830367728064,7.131676392280105,8.326672684688674e-17,1.942890293094024e-16,1.6081226496766364e-16,1.134092819654597e-16,1.6081226496766364e-16,4.3029468876909505e-12,1.0348943924043397e-11,3.377057564320937e-17,0.0,6.938893903907228e-18
