tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
31,0.32000000000000023,ramp,0,0,1.4494567768252864e-09,0.000267077,1,1,-0.011157172669780779,0,0,-0.011275624162019136,-0.025957886860620935,-0.0013975178749590427,-0.00020583718369864695,0.0001184514922383563,-0.00018600529917161494,4.3656649713348352e-05,0.0021828325562312225,3.2388952954325951,-0.020467442171788641,-3.1275287755636687,-5.8650932369267639e-07,0.046485323334420223,-3.2388952954325951,-5.6810819581918503e-07
32,0.33000000000000024,ramp,0,0,2.6463382596375595e-09,0.000255966,1,1,-0.011157172669780779,0,0,-0.011495795703592156,-0.0180081187081668,-0.0014476598914542824,-0.0069006536733960556,0.00033862303381137701,-0.00013586328267637532,0.00014786636929605126,0.0073933186042002145,3.2253588359816749,-0.046998439241765777,-3.1424951339503124,-1.2468184448026027e-06,0.06752763049021325,-3.2253588359816749,-1.250626144209202e-06
33,0.34000000000000025,ramp,0,0,5.8238786015962773e-09,0.00026264700000000002,1,1,-0.011157172669780779,0,0,-0.011588318631820752,-0.003588603642125294,-0.0015008888421786529,-0.0043563251064361761,0.00043114596203997282,-8.2634331952004779e-05,0.00011170690938292211,0.0055853454264588676,3.23197143460514,-0.048451980808694138,-3.1431894929791948,-1.7071799705328175e-06,0.05492718661401641,-3.23197143460514,-1.7049710661646192e-06
34,0.35000000000000026,ramp,0,0,4.0675414147983702e-09,0.00025894200000000002,1,1,-0.011157172669780779,0,0,-0.011566960236252538,0.0058411401571861147,-0.0015341862400447045,-0.0026997788859532239,0.00040978756647175839,-4.9336934085953202e-05,8.7364017439604745e-05,0.0043682008443936722,3.2370324569088185,-0.049870685373164657,-3.1442073485021322,-1.8018166146311789e-06,0.046058431642561418,-3.2370324569088185,-1.7956480832869181e-06
35,0.36000000000000026,ramp,0,0,2.811023636084542e-09,0.00026389600000000001,1,1,-0.011157172669780779,0,0,-0.011472698001686271,0.011755238239817428,-0.0015544854323497927,-0.0016166342822959449,0.00031552533190549147,-2.9037741780865017e-05,7.0806186839586608e-05,0.0035403093238478636,3.2409267976231999,-0.051094178632613466,-3.1452948536639029,-1.6661543986975484e-06,0.039744535778828867,-3.2409267976231999,-1.6573247429757161e-06
36,0.37000000000000027,ramp,0,0,1.93027716033356e-09,0.00026342899999999997,1,1,-0.011157172669780779,0,0,-0.011333999472825745,0.015258589503518185,-0.001566227195631994,-0.00089849395504546566,0.00017682680304496531,-1.7295978498663676e-05,5.9507330460236715e-05,0.0029753665107102698,3.2439983941995787,-0.052072859771043763,-3.1463291589210329,-1.3958544537081004e-06,0.035147284329859245,-3.2439983941995787,-1.3851723850021902e-06
37,0.38000000000000028,ramp,0,0,1.3337547732916732e-09,0.000259554,1,1,-0.011157172669780779,0,0,-0.011169998335388735,0.017173590144737991,-0.0015722208566076841,-0.00040992787575279757,1.28256656079552e-05,-1.1302317522973553e-05,5.1914464345967227e-05,0.0025957232085676127,3.2465291817293518,-0.052822061427610104,-3.1472607271724651,-1.0571381747383514e-06,0.031667428647681385,-3.2465291817293518,-1.0450868693104256e-06
38,0.39000000000000029,ramp,0,0,7.6679616019542115e-10,0.000259836,1,1,-0.011157172669780779,0,0,-0.011004232786476238,0.014332176782105365,-0.0015644341340132276,0.0031958277477567541,-0.00015293988330454186,-1.9089040117430123e-05,3.6073868822013821e-06,0.00018036911980453142,3.2538981222953041,-0.040507356711573309,-3.1406037794556427,-6.7165606821345765e-07,0.020149440439216456,-3.2538981222953041,-6.482094509959934e-07
39,0.4000000000000003,ramp,0,0,4.6419859067725611e-09,0.00026053799999999999,1,1,-0.011157172669780779,0,0,-0.010919751156925155,0.0026675773060644611,-0.0014961962986935707,0.0076224905599563391,-0.0002374215128556241,-8.7326875437086955e-05,7.9393667974538655e-05,0.0039696834940680511,3.2613568738813958,-0.017552746035977704,-3.1274790131102934,-3.6708895345842768e-07,0.0084383849452354248,-3.2613568738813958,-3.2776857717826852e-07
40,0.41000000000000031,ramp,0,0,6.0537468371535397e-09,0.00025953199999999998,1,1,-0.011157172669780779,0,0,-0.010976603807833643,-0.01124869891661625,-0.0014279589548158167,0.006380879680265769,-0.00018056886194713594,-0.00015556421931484099,7.1433685777326966e-05,0.0035716842741491859,3.2563366445189952,-0.010590160259368327,-3.1233224691900312,-3.5430419414555945e-07,0.016998406458693081,-3.2563366445189952,-3.1656699684234345e-07
41,0.42000000000000032,ramp,0,0,2.1081353672508491e-09,0.00025231500000000003,1,1,-0.011157172669780779,0,0,-0.0110833409348201,-0.010401162036864888,-0.0014238066129184006,-0.0035130976989621097,-7.3831734960679019e-05,-0.00015971656121225707,7.4878279314874978e-05,0.0037439141595065734,3.2371453888528872,-0.041711030152478984,-3.1411828876324712,-6.4199883155875095e-07,0.048634185135848662,-3.2371453888528872,-6.3443117523887316e-07
42,0.43000000000000033,ramp,0,0,2.6653719231717332e-09,0.00025595000000000001,1,1,-0.011157172669780779,0,0,-0.011158835320915829,-0.0035286725693633282,-0.0014819674759913182,-0.0054715409289745999,1.662651135049889e-06,-0.00010155569813933944,0.00010722577072950174,0.0053612885838955331,3.2329053634341571,-0.053871410811153174,-3.1483121485983108,-9.7247254629060085e-07,0.054514056234134398,-3.2329053634341571,-9.7284901243643621e-07
43,0.44000000000000034,ramp,0,0,3.7357614779409687e-09,0.00026588600000000001,1,1,-0.011157172669780779,0,0,-0.01114124591485503,0.005189532249696714,-0.0015242033594730364,-0.0034594070369255324,-1.5926754925749825e-05,-5.9319814657621261e-05,7.8099708605806694e-05,0.0039049853973145694,3.2380406469434666,-0.054188442271584085,-3.1487477616415038,-1.118323353382122e-06,0.045348780519155238,-3.2380406469434666,-1.1139168794666239e-06
44,0.45000000000000034,ramp,0,0,2.6154056698146633e-09,0.00025583700000000002,1,1,-0.011157172669780779,0,0,-0.011055676446189346,0.010762864772121379,-0.0015506831701990837,-0.0021482516111956673,-0.00010149622359143309,-3.2840003931573943e-05,5.8974322873795328e-05,0.0029487161223885243,3.2420398054166033,-0.054748518156297547,-3.1494779254585308,-1.0574885653900258e-06,0.038851812733877569,-3.2420398054166033,-1.0498887145553779e-06
45,0.46000000000000035,ramp,0,0,1.0572113184892373e-09,0.00025766899999999998,1,1,-0.011157172669780779,0,0,-0.01093096397036368,0.012358504106988525,-0.0015635458844075788,0.00034722218416603085,-0.0002262086994170992,-1.9977289723078877e-05,2.1523038581918161e-05,0.0010761518832980508,3.2478039173681053,-0.049032373758959025,-3.1466407522132429,-8.608763185290184e-07,0.029775610937537375,-3.2478039173681053,-8.4596287922591168e-07
46,0.47000000000000036,ramp,0,0,2.5544849568959194e-09,0.00025488600000000001,1,1,-0.011157172669780779,0,0,-0.010847454770768355,0.0057180356456509804,-0.0015098770498076135,0.0087246988950739346,-0.00030971789901242455,-7.3646124323044175e-05,0.00011385195620735098,0.0056925979799181169,3.2637409737894183,-0.016837288693650972,-3.1282037736728197,-6.7264077833426751e-07,0.0035133411792023827,-3.2637409737894183,-6.3018638375504873e-07
47,0.48000000000000037,ramp,0,0,5.1702163661460077e-09,0.00026552999999999999,1,1,-0.011157172669780779,0,0,-0.010871751028427587,-0.0064261633754515695,-0.0014360697622367389,0.0053859067764830421,-0.00028542164135319202,-0.00014745341189391879,7.4411025993773705e-05,0.0037205512454329482,3.2558931330040295,-0.017412793422263973,-3.1284864280418438,-6.2562026690672709e-07,0.01728922073749781,-3.2558931330040295,-5.9093519899698173e-07
48,0.49000000000000038,ramp,0,0,2.0154082815496285e-09,0.00026182000000000001,1,1,-0.011157172669780779,0,0,-0.010937022091274708,-0.0066638369336387906,-0.0014390201860730537,-0.0040368860016787543,-0.00022015057850607173,-0.00014450298805760396,6.7151512517206946e-05,0.003357575809493737,3.2374674008326956,-0.047059021620304349,-3.1456396229671602,-8.3777324592295016e-07,0.048048924447686284,-3.2374674008326956,-8.3201436823021176e-07
49,0.50000000000000033,ramp,0,0,2.4232605921881145e-09,0.00025548600000000003,1,1,-0.011157172669780779,0,0,-0.010979792513081413,-0.00059027169039122494,-0.0015007862244026731,-0.0057802460279420247,-0.00017738015669936658,-8.2736949727984545e-05,9.8070951241062767e-05,0.0049035476056145727,3.2336106774260731,-0.058484572016189583,-3.1524103471105001,-1.124552954143182e-06,0.053602263583480428,-3.2336106774260731,-1.1261461301665226e-06
50,0.51000000000000034,ramp,0,0,3.5677361065467039e-09,0.000254672,1,1,-0.011157172669780779,0,0,-0.01093625260275775,0.0075920173174378013,-0.0015458128589919927,-0.0037206794977640151,-0.00022092006702302894,-3.771031513866499e-05,7.0003679834161459e-05,0.0035001839583014378,3.2388562915535775,-0.058651122430675592,-3.1527873159459716,-1.2545899688499241e-06,0.044508067567913964,-3.2388562915535775,-1.2512794409781756e-06
51,0.52000000000000035,ramp,0,0,1.6499002165267935e-09,0.00025152600000000002,1,1,-0.01115401439637243,0.0003158273408348603,0.031582734083486032,-0.010865653772901995,0.0054612932805803947,-0.0015423161937494281,0.0040987435213393139,-0.00028836062347043466,-4.1206980381229552e-05,5.1478651459910828e-05,0.0025739327247895475,3.253136402258074,-0.032191711276052117,-3.1378343962237332,-1.1643715932296063e-06,0.020801328937508686,-3.253136402258074,-1.136879574574572e-06
52,0.53000000000000036,ramp,0,0,2.5550478399694043e-09,0.00025802300000000002,1,1,-0.01114538321028501,0.0008631186087420681,0.054729126790720777,-0.010837273657835982,0.00055110248492398414,-0.0014688384515138715,0.0067195608711147527,-0.00030810955244902835,-0.00011468472261678617,0.00010247953763384598,0.0051239769435094925,3.2586675515737715,-0.017230204146975125,-3.1291864934664448,-1.1285369649792475e-06,0.012101120516003365,-3.2586675515737715,-1.0904898525129541e-06
53,0.54000000000000037,ramp,0,0,2.0440960800066748e-09,0.00025981600000000001,1,1,-0.011129632629318986,0.0015750580966024425,0.071193948786037436,-0.010836017553960464,-0.00018446528458191357,-0.0014600925962533267,-0.0029538129338561158,-0.00029361507535852205,-0.00012343057787733095,4.3534850870235218e-05,0.0021767427295423885,3.2402555559520376,-0.046547254583826358,-3.1462679396430926,-1.1801608825611019e-06,0.043612306983749113,-3.2402555559520376,-1.1713902378716682e-06
54,0.55000000000000038,ramp,0,0,2.0032646652623498e-09,0.00025828500000000002,1,1,-0.011105642402363055,0.0023990226955931497,0.082396459899070726,-0.010814276387822026,0.0058157094662450708,-0.0015122829912399714,-0.0049468899850386178,-0.00029136601454102934,-7.1240182890686295e-05,7.8847257010538895e-05,0.0039423628967496698,3.2363754098022479,-0.057945716000308851,-3.1531315415382899,-1.3249980308164077e-06,0.049806123245859368,-3.2363754098022479,-1.3239597594808665e-06
55,0.56000000000000039,ramp,0,0,2.1167816955347632e-09,0.00025600699999999999,1,1,-0.01107270394339295,0.0032938458970105532,0.089482320141740346,-0.010761955368152387,0.0048337547974643801,-0.0015018287853575812,0.004983834544378429,-0.0003107485752405631,-8.1694388773076443e-05,7.7150235682923974e-05,0.003857511978925963,3.2548498759298523,-0.024889915621680473,-3.1342913780338848,-1.3282151346507986e-06,0.018564317733523475,-3.2548498759298523,-1.2962773107313732e-06
56,0.5700000000000004,ramp,0,0,8.2237185971980822e-10,0.00026054600000000001,1,1,-0.011030428058292376,0.0042275885100574138,0.093374261304686068,-0.010699544475506596,0.0065735089382056439,-0.0014606194327898229,0.00078623902505007073,-0.00033088358278578027,-0.0001229037413408348,1.8624633080980403e-05,0.00093123157840086228,3.2489268589178204,-0.036889511179985554,-3.1413243507321726,-1.3093548322221288e-06,0.02934746006768732,-3.2489268589178204,-1.2888011521677852e-06
57,0.5800000000000004,ramp,0,0,2.1965547158941945e-09,0.000253312,1,1,-0.010978670818818415,0.0051757239473960229,0.094813543733860903,-0.010647999149218153,0.0023220789087934051,-0.0014919533375073483,-0.0041285509541404957,-0.00033067166960026179,-9.1569836623309371e-05,6.0222158773723736e-05,0.0030111080392997138,3.2375106731059655,-0.051374211678923219,-3.1501258487756849,-1.2214205796199882e-06,0.049141475309795325,-3.2375106731059655,-1.2168701031120074e-06
58,0.59000000000000041,ramp,0,0,2.0071381223729645e-09,0.00026961200000000002,1,1,-0.010917474193387962,0.0061196625430453315,0.094393859564930863,-0.010600971981341092,0.0082442465772847671,-0.0014834429789254422,0.0023998322079729403,-0.0003165022120468694,-0.00010008019520521549,4.4346227887189247e-05,0.0022173115235240128,3.2514427010676483,-0.032840620345594568,-3.1395163420864747,-1.3552541914754685e-06,0.025191092936952694,-3.2514427010676483,-1.3302706229684678e-06
59,0.60000000000000042,ramp,0,0,2.3679742611193433e-09,0.00025633299999999997,1,1,-0.01084701866341258,0.0070455529975381233,0.092589045449279192,-0.010469866096719797,0.014387127840328261,-0.0014701743105010314,-0.0010326232837405101,-0.00037715256669278337,-0.00011334886362962624,6.8809863021482972e-06,0.00034404937889762267,3.2479233034715405,-0.046453955687935117,-3.1477134259552741,-1.2630188560687857e-06,0.032038254136809469,-3.2479233034715405,-1.2479581687299008e-06
60,0.61000000000000043,ramp,0,0,4.8128219187759669e-09,0.00025885600000000002,1,1,-0.010767585561137775,0.0079433102274805208,0.089775722994239748,-0.010390456696081105,0.0037068310578790356,-0.0014782353309435768,-0.0006691158094381186,-0.00037712886505666954,-0.00010528784318708084,1.493328537676269e-06,7.4665457609806335e-05,3.2453194148959321,-0.039771449270236188,-3.144402135896303,-1.0396255811448696e-06,0.037152179117014142,-3.2453194148959321,-1.0236103193858283e-06
61,0.62000000000000044,ramp,0,0,2.4773915141551583e-09,0.00025174699999999997,1,1,-0.010679527280443118,0.008805828069465671,0.086251784198515008,-0.010331337341721245,0.010705613879432599,-0.0014680508297886738,0.0016151549514470537,-0.00034818993872187329,-0.00011547234434198389,3.8919427767234149e-05,0.0019459714346503514,3.2517770329583411,-0.035313432443933833,-3.1419089301526899,-1.1765257140897109e-06,0.026000952478364453,-3.2517770329583411,-1.1530246482894598e-06
62,0.63000000000000045,ramp,0,0,2.7191117135672016e-09,0.00025361900000000001,1,1,-0.010583243852324552,0.0096283428118566078,0.08225147423909368,-0.010171363330583647,0.017562065903091575,-0.0014610653425491159,-0.001563040006165653,-0.00041188052174090557,-0.00012245783158154177,9.4003314111413987e-06,0.00047001663042879697,3.2489389434269684,-0.048957976010882774,-3.1502077369491777,-1.0566494835414828e-06,0.031772261612163066,-3.2489389434269684,-1.0424648259986795e-06
63,0.64000000000000046,ramp,0,0,3.6092052679848052e-09,0.00025732000000000001,1,1,-0.010479164655344918,0.010407919697963477,0.077957688610686901,-0.010052670387684315,0.0095121406363215706,-0.001473836638120501,-0.0010624782063947784,-0.00042649426766060324,-0.00010968653601015673,1.9147482920129409e-06,9.5736692749228973e-05,3.2474947626184165,-0.043687543104926792,-3.1478146397105062,-8.128260526469008e-07,0.035010315446413642,-3.2474947626184165,-7.9739230771158341e-07
64,0.65000000000000047,ramp,0,0,1.6533250324357596e-09,0.00026255499999999998,1,1,-0.010367734259311423,0.011143039603349539,0.073511990538606228,-0.0099220074643298559,0.014102271090093915,-0.0014642459176622382,0.001180591745936755,-0.00044572679498156714,-0.00011927725646841952,4.1717272404033501e-05,0.002085863664911025,3.253515934169994,-0.038614236991315401,-3.145508767752569,-7.8316628085334763e-07,0.024873246004529868,-3.253515934169994,-7.6043729120044994e-07
65,0.66000000000000048,ramp,0,0,3.1931002286711418e-10,0.00025234900000000002,1,1,-0.010249401586934504,0.01183326723769181,0.069022763434227127,-0.0097734883395157006,0.015377632607294849,-0.0014523809322282378,0.0011939824004392474,-0.00047591324741880388,-0.00013114224190241986,5.3850396291593387e-05,0.002692519814283585,3.2546190974721307,-0.038908803437252719,-3.1465995027917169,-6.5507493071186332e-07,0.023395326525475775,-3.2546190974721307,-6.3181755249828552e-07
66,0.67000000000000048,ramp,0,0,2.3923851788509864e-10,0.00025502199999999999,1,1,-0.010124611730720632,0.012478985621387172,0.064571838369536186,-0.0096137371138483741,0.016415568405354752,-0.001440402476586132,0.0012097973012227849,-0.00051087461687225784,-0.00014312069754452567,6.9762018943755541e-05,0.0034881009458885767,3.2555545227297991,-0.039155963048157452,-3.1478253553880893,-5.1872394704660381e-07,0.021988371606351365,-3.2555545227297991,-4.9493815961564764e-07
67,0.68000000000000049,ramp,0,0,2.081494976380327e-10,0.00025512799999999997,1,1,-0.0099937998869884213,0.013081184373221018,0.060219875183384515,-0.0094442962558542159,0.017350110285807491,-0.0014280825582524397,0.0012596773012415394,-0.00054950363113420546,-0.00015544061587821796,8.9526143665635482e-05,0.0044763071817632717,3.2563939418119858,-0.039303753414430223,-3.1491125423960318,-3.810150087733314e-07,0.020475846086980304,-3.2563939418119858,-3.5660251001361267e-07
68,0.6900000000000005,ramp,0,0,2.0548496237893232e-10,0.00026201399999999998,1,1,-0.0098573869707071163,0.013641291628130502,0.056010725490948481,-0.0092657287810157148,0.018258396923754711,-0.0014150017051115992,0.0013559320723812197,-0.00059165818969140159,-0.00016852146901905844,0.00011293390641131246,0.0056466953192691426,3.2572051903718369,-0.03932748580539127,-3.1504241246239149,-2.4714026118678503e-07,0.018757236841833592,-3.2572051903718369,-2.2194657271903521e-07
69,0.70000000000000051,ramp,0,0,2.2312107716970786e-10,0.00026345300000000003,1,1,-0.0097157765579683978,0.014161041273871904,0.051974964574140123,-0.0090779782265507473,0.019194310202321201,-0.0014006667643873087,0.0015033863814146661,-0.00063779833141765045,-0.00018285640974334896,0.00013976525024987687,0.0069882625116782461,3.2580545708683166,-0.039213514797132511,-3.1517355177271367,-1.2051061879130424e-07,0.016760472613949608,-3.2580545708683166,-9.4344135836520144e-08
70,0.71000000000000052,ramp,0,0,2.5931434777248796e-10,0.00025967299999999998,1,1,-0.0095693528707034188,0.014642368726497816,0.048132745262591259,-0.0088804923963212885,0.020205845546828069,-0.0013845501585886839,0.0017049370482958154,-0.00068886047438213027,-0.00019897301554197382,0.00016958112353494649,0.008479056176754235,3.2590101986405049,-0.03895191151938987,-3.153024174926542,-3.5425219668854087e-09,0.014417579928168112,-3.2590101986405049,2.3821855473015041e-08
71,0.72000000000000053,ramp,0,0,3.1526092847400378e-10,0.00025476399999999999,1,1,-0.0094184795735243517,0.015087329717906668,0.044496099140885204,-0.008672230496393013,0.021343336898478969,-0.0013660936137623826,0.0019639661317461185,-0.00074624907713133869,-0.00021742956036827511,0.00020192002491040107,0.010096001246671515,3.2601448557840618,-0.03853325891843716,-3.1542657331127999,1.0200147279708292e-07,0.011652787283082224,-3.2601448557840618,1.3082589062272166e-07
